AL AK AZ AR CA CO CT DE FL GA HI ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY DC 
"3,274,000" "229,000" "1,321,000" "1,789,000" "15,870,000" "1,769,000" "2,544,000" "449,000" "5,004,000" "3,956,000" "642,000" "671,000" "10,086,000" "4,674,000" "2,756,000" "2,183,000" "3,041,000" "3,260,000" "975,000" "3,113,000" "5,160,000" "7,834,000" "3,425,000" "2,182,000" "4,326,000" "679,000" "1,417,000" "291,000" "609,000" "6,103,000" "954,000" "16,838,000" "4,573,000" "634,000" "9,734,000" "2,336,000" "1,772,000" "11,329,000" "855,000" "2,392,000" "683,000" "3,575,000" "9,624,000" "900,000" "389,000" "3,986,000" "2,855,000" "1,853,000" "3,962,000" "331,000" "765,000"  
"3,316,000" "238,000" "1,407,000" "1,806,000" "16,497,000" "1,844,000" "2,586,000" "461,000" "5,243,000" "4,015,000" "659,000" "684,000" "10,130,000" "4,730,000" "2,756,000" "2,215,000" "3,054,000" "3,287,000" "995,000" "3,176,000" "5,219,000" "7,893,000" "3,470,000" "2,206,000" "4,349,000" "696,000" "1,446,000" "315,000" "618,000" "6,265,000" "965,000" "17,061,000" "4,663,000" "641,000" "9,854,000" "2,380,000" "1,787,000" "11,392,000" "858,000" "2,409,000" "693,000" "3,622,000" "9,820,000" "936,000" "390,000" "4,095,000" "2,882,000" "1,828,000" "4,009,000" "337,000" "778,000"  
"3,323,000" "246,000" "1,471,000" "1,853,000" "17,072,000" "1,899,000" "2,647,000" "469,000" "5,458,000" "4,086,000" "684,000" "692,000" "10,280,000" "4,736,000" "2,750,000" "2,231,000" "3,079,000" "3,345,000" "994,000" "3,263,000" "5,263,000" "7,933,000" "3,513,000" "2,243,000" "4,357,000" "698,000" "1,464,000" "352,000" "632,000" "6,376,000" "979,000" "17,301,000" "4,707,000" "637,000" "9,929,000" "2,427,000" "1,818,000" "11,355,000" "871,000" "2,423,000" "705,000" "3,673,000" "10,053,000" "958,000" "393,000" "4,180,000" "2,942,000" "1,809,000" "4,049,000" "333,000" "788,000"  
"3,358,000" "256,000" "1,521,000" "1,875,000" "17,668,000" "1,936,000" "2,727,000" "483,000" "5,628,000" "4,172,000" "682,000" "683,000" "10,402,000" "4,799,000" "2,747,000" "2,217,000" "3,096,000" "3,377,000" "993,000" "3,386,000" "5,344,000" "8,058,000" "3,531,000" "2,244,000" "4,392,000" "703,000" "1,476,000" "397,000" "649,000" "6,531,000" "989,000" "17,461,000" "4,742,000" "644,000" "9,986,000" "2,439,000" "1,853,000" "11,424,000" "876,000" "2,460,000" "708,000" "3,718,000" "10,159,000" "974,000" "397,000" "4,276,000" "2,955,000" "1,796,000" "4,112,000" "336,000" "798,000"  
"3,395,000" "263,000" "1,556,000" "1,897,000" "18,151,000" "1,970,000" "2,798,000" "497,000" "5,781,000" "4,258,000" "700,000" "680,000" "10,580,000" "4,856,000" "2,746,000" "2,209,000" "3,129,000" "3,446,000" "993,000" "3,492,000" "5,448,000" "8,187,000" "3,558,000" "2,241,000" "4,442,000" "706,000" "1,482,000" "426,000" "663,000" "6,660,000" "1,006,000" "17,589,000" "4,802,000" "649,000" "10,080,000" "2,446,000" "1,888,000" "11,519,000" "885,000" "2,475,000" "701,000" "3,771,000" "10,270,000" "978,000" "399,000" "4,357,000" "2,961,000" "1,797,000" "4,165,000" "339,000" "798,000"  
"3,443,000" "271,000" "1,584,000" "1,894,000" "18,585,000" "1,985,000" "2,857,000" "507,000" "5,954,000" "4,332,000" "704,000" "686,000" "10,693,000" "4,922,000" "2,742,000" "2,206,000" "3,140,000" "3,496,000" "997,000" "3,600,000" "5,502,000" "8,357,000" "3,592,000" "2,246,000" "4,467,000" "706,000" "1,471,000" "444,000" "676,000" "6,767,000" "1,012,000" "17,734,000" "4,863,000" "649,000" "10,201,000" "2,440,000" "1,937,000" "11,620,000" "893,000" "2,494,000" "692,000" "3,798,000" "10,378,000" "994,000" "404,000" "4,411,000" "2,967,000" "1,786,000" "4,232,000" "332,000" "797,000"  
"3,464,000" "271,000" "1,614,000" "1,899,000" "18,858,000" "2,007,000" "2,903,000" "516,000" "6,104,000" "4,379,000" "710,000" "689,000" "10,836,000" "4,999,000" "2,762,000" "2,200,000" "3,147,000" "3,550,000" "999,000" "3,695,000" "5,535,000" "8,512,000" "3,617,000" "2,245,000" "4,523,000" "707,000" "1,456,000" "446,000" "681,000" "6,851,000" "1,007,000" "17,843,000" "4,896,000" "647,000" "10,330,000" "2,454,000" "1,969,000" "11,664,000" "899,000" "2,520,000" "683,000" "3,822,000" "10,492,000" "1,009,000" "413,000" "4,456,000" "3,057,000" "1,775,000" "4,274,000" "323,000" "791,000"  
"3,458,000" "278,000" "1,646,000" "1,901,000" "19,176,000" "2,053,000" "2,935,000" "525,000" "6,242,000" "4,408,000" "723,000" "688,000" "10,947,000" "5,053,000" "2,793,000" "2,197,000" "3,172,000" "3,581,000" "1,004,000" "3,757,000" "5,594,000" "8,630,000" "3,659,000" "2,228,000" "4,539,000" "701,000" "1,457,000" "449,000" "697,000" "6,928,000" "1,000,000" "17,935,000" "4,952,000" "626,000" "10,414,000" "2,489,000" "1,979,000" "11,681,000" "909,000" "2,533,000" "671,000" "3,859,000" "10,599,000" "1,019,000" "423,000" "4,508,000" "3,174,000" "1,769,000" "4,303,000" "322,000" "791,000"  
"3,446,000" "285,000" "1,682,000" "1,902,000" "19,394,000" "2,120,000" "2,964,000" "534,000" "6,433,000" "4,482,000" "734,000" "695,000" "10,995,000" "5,093,000" "2,803,000" "2,216,000" "3,195,000" "3,603,000" "994,000" "3,815,000" "5,618,000" "8,696,000" "3,703,000" "2,219,000" "4,568,000" "700,000" "1,467,000" "464,000" "709,000" "7,005,000" "994,000" "18,051,000" "5,004,000" "621,000" "10,516,000" "2,503,000" "2,004,000" "11,741,000" "922,000" "2,559,000" "669,000" "3,878,000" "10,819,000" "1,029,000" "430,000" "4,558,000" "3,270,000" "1,763,000" "4,345,000" "324,000" "778,000"  
"3,440,000" "296,000" "1,737,000" "1,913,000" "19,711,000" "2,166,000" "3,000,000" "540,000" "6,641,000" "4,551,000" "750,000" "707,000" "11,039,000" "5,143,000" "2,805,000" "2,236,000" "3,198,000" "3,619,000" "992,000" "3,868,000" "5,650,000" "8,781,000" "3,758,000" "2,220,000" "4,640,000" "694,000" "1,474,000" "480,000" "724,000" "7,095,000" "1,011,000" "18,105,000" "5,031,000" "621,000" "10,563,000" "2,535,000" "2,062,000" "11,741,000" "932,000" "2,570,000" "668,000" "3,897,000" "11,045,000" "1,047,000" "437,000" "4,614,000" "3,343,000" "1,746,000" "4,378,000" "329,000" "762,000"  
